Coin,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV
Cosmos HubATOM,4.62,1.3,-1.2,8.4,2.1,123346432.0,2137886743,2137886743,1.0
BonkBONK,2.649e-05,1.8,-2.0,0.4,13.8,498796461.0,2051202401,2331403441,0.88
Rocket Pool ETHRETH,4938.54,1.3,2.6,19.3,47.8,16361101.0,2041310870,2041310870,1.0
RenderRENDER,3.89,1.6,-1.0,7.4,11.5,90892327.0,2015473964,2072889700,0.97
GateGT,16.69,0.3,-0.4,-1.5,5.3,10431331.0,1992579870,5004600632,0.4
FasttokenFTN,4.58,-0.1,0.7,-0.1,2.3,63137374.0,1975980307,3988495907,0.5
Kelp DAO Restaked ETHRSETH,4557.3,1.4,2.8,18.9,49.2,2223865.0,1945496134,1945496134,1.0
WorldcoinWLD,1.04,1.3,-2.5,5.0,4.1,202492879.0,1930241350,10407388000,0.19
StoryIP,6.4,-1.7,-4.7,7.9,52.8,134670608.0,1908071663,6520255504,0.29
sUSDSSUSDS,1.06,0.0,0.0,0.1,0.4,52760422.0,1881504591,1882246562,1.0
Binance Staked SOLBNSOL,193.26,1.7,-0.2,9.4,15.1,6520376.0,1868772076,1868772076,1.0
Artificial Superintelligence AllianceFET,0.7131,2.0,0.3,9.4,3.8,112383080.0,1856781955,1934856955,0.96
SkySKY,0.08667,1.2,-0.9,6.2,14.5,4616530.0,1833906712,2026008190,0.91
SeiSEI,0.3165,1.5,-2.2,6.1,1.1,192250939.0,1831884019,3168359782,0.58
Official TrumpTRUMP,9.03,0.5,-3.0,1.5,4.2,505366548.0,1810069357,9050348002,0.2
Jupiter Perpetuals Liquidity Provider TokenJLP,5.15,0.4,0.1,4.9,10.2,58444961.0,1802698180,1802593535,1.0
FilecoinFIL,2.56,1.4,-1.8,7.3,3.2,233598339.0,1748139471,5009150885,0.35
SPX6900SPX,1.83,-0.2,-3.6,12.6,21.6,75404512.0,1710679469,1710679469,1.0
Lombard Staked BTCLBTC,120788.0,0.7,1.8,5.5,3.2,15534655.0,1647721705,1647721705,1.0
QuantQNT,113.26,1.3,-0.4,0.5,2.2,19444320.0,1647223517,1654960847,1.0
StakeWise Staked ETHOSETH,4568.95,1.3,2.7,18.6,49.2,2735139.0,1638764710,1638764710,1.0
FlareFLR,0.02267,0.5,0.0,-5.3,35.3,9881097.0,1623593444,2352185692,0.69
JupiterJUP,0.5177,2.0,-1.0,9.8,12.7,90439064.0,1583718330,3624519298,0.44
Liquid Staked ETHLSETH,4659.82,0.3,2.9,18.0,48.1,2093277.0,1570049850,1570049850,1.0
Mantle Staked EtherMETH,4628.95,1.4,2.4,18.4,48.6,3536196.0,1551960664,1551960664,1.0
KuCoinKCS,11.94,0.4,1.1,12.5,5.0,2690251.0,1527042316,1706804419,0.89
USDtbUSDTB,0.9998,0.0,0.0,0.0,0.0,3524525.0,1462759378,1462759378,1.0
XDC NetworkXDC,0.08825,0.2,-2.0,-8.3,29.0,45857945.0,1432287261,3354175360,0.43
Lido DAOLDO,1.58,3.1,14.6,68.6,98.1,536308979.0,1411751950,1575811474,0.9
InjectiveINJ,14.21,1.4,-0.7,6.3,18.5,136322186.0,1388065950,1420347315,0.98
NEXONEXO,1.37,0.1,1.1,3.2,8.5,16583188.0,1373801878,1373801878,1.0
USDT0USDT0,0.9997,0.0,0.1,0.0,0.0,421024079.0,1363264328,185913986532,0.01
OptimismOP,0.7778,1.8,0.0,12.8,23.9,236336368.0,1361652593,3337688248,0.41
Curve DAOCRV,0.9708,0.8,-0.8,5.9,60.0,289668990.0,1344459501,2225716810,0.6
StacksSTX,0.7532,1.1,0.4,7.3,4.8,53451245.0,1344163553,1344163553,1.0
Provenance BlockchainHASH,0.02774,0.5,-6.7,2.7,2.1,1914.57,1328555867,2774202492,0.48
CelestiaTIA,1.79,0.9,-0.4,7.8,1.5,133279454.0,1328403630,2041589868,0.65
Renzo Restaked ETHEZETH,4578.2,1.3,2.9,19.5,49.3,4778437.0,1321286414,1321286414,1.0
First Digital USDFDUSD,1.0,0.6,0.5,0.5,0.5,8824326667.0,1316151809,1316151809,1.0
